id_pozo,campo,zona_operativa,metodo_extraccion,estado_operativo,fecha_inicio_operacion,fecha_ultimo_reporte,profundidad_m,produccion_bpd,produccion_acumulada_mbbl,corte_agua_pct,api_gravedad,presion_cabeza_psi,temperatura_fondo_c,activo,requiere_mantenimiento
RUB-174,Campo Rubiales,Occidente,Bombeo Mecanico,En Mantenimiento,2019-05-17,2026-07-17,2866.7,9.8,0.77,36.7,11.1,270.7,80.4,False,True
RUB-175,Campo Rubiales,Sur,Bombeo Mecanico,En Mantenimiento,2011-09-11,2026-06-28,2853.3,9.0,2.25,68.1,13.7,200.9,93.6,False,True
RUB-176,Campo Rubiales,Sur,Flujo Natural,Cerrado,2020-08-28,2026-07-08,2485.8,0.0,0.37,34.5,13.3,11.8,74.3,False,False
RUB-177,Campo Rubiales,Oriente,Bombeo Mecanico,Activo,2008-04-18,2026-06-25,2271.8,70.3,2.23,67.3,15.4,188.5,76.6,True,True
RUB-178,Campo Rubiales,Norte,Bombeo Mecanico,Activo,2014-06-11,2026-06-26,1928.2,77.8,1.62,61.9,10.2,208.8,86.9,True,False
RUB-179,Campo Rubiales,Oriente,Bombeo Mecanico,En Mantenimiento,2013-05-19,2026-07-04,2099.7,0.7,1.92,52.3,14.7,193.7,83.6,False,True
RUB-180,Campo Rubiales,Sur,Gas Lift,Activo,2014-10-29,2026-07-05,2650.9,248.5,1.81,54.1,12.8,221.6,79.8,True,False
RUB-181,Campo Rubiales,Norte,Bombeo Mecanico,Activo,2020-03-30,2026-07-09,1639.5,90.3,0.61,26.2,10.5,267.5,65.3,True,False
RUB-182,Campo Rubiales,Norte,BES,Activo,2012-11-27,2026-06-22,1990.2,282.0,4.53,43.3,10.9,229.2,86.0,True,True
RUB-183,Campo Rubiales,Norte,Flujo Natural,Activo,2009-02-10,2026-07-18,2151.8,58.6,0.78,52.0,11.4,217.8,69.9,True,False
RUB-184,Campo Rubiales,Oriente,Flujo Natural,Activo,2011-08-12,2026-07-06,1913.7,25.3,0.67,65.8,15.1,186.5,67.8,True,True
RUB-185,Campo Rubiales,Occidente,Flujo Natural,Activo,2018-06-08,2026-07-01,2830.6,43.7,0.6,31.1,12.7,233.4,96.7,True,False
RUB-186,Campo Rubiales,Sur,Flujo Natural,En Mantenimiento,2009-09-10,2026-06-30,2766.3,5.5,0.75,68.1,12.3,184.0,91.9,False,True
RUB-187,Campo Rubiales,Oriente,Bombeo Mecanico,Activo,2020-06-15,2026-07-09,2104.1,110.2,0.64,30.9,14.7,217.1,85.0,True,False
RUB-188,Campo Rubiales,Oriente,Bombeo Mecanico,En Mantenimiento,2022-02-27,2026-07-20,1945.5,12.8,0.54,40.6,14.1,242.5,74.9,False,True
RUB-189,Campo Rubiales,Norte,BES,Activo,2015-12-12,2026-06-26,2331.4,212.7,3.53,47.6,9.4,283.5,79.4,True,False
RUB-190,Campo Rubiales,Oriente,BES,Activo,2018-09-15,2026-07-06,2671.4,344.9,1.94,33.6,14.5,275.0,74.5,True,False
RUB-191,Campo Rubiales,Occidente,Flujo Natural,Activo,2012-02-26,2026-07-03,2568.1,22.1,0.76,49.3,13.4,204.1,96.6,True,False
RUB-192,Campo Rubiales,Sur,Gas Lift,Activo,2014-01-01,2026-07-02,2713.1,106.1,2.51,58.8,13.8,179.2,83.0,True,False
RUB-193,Campo Rubiales,Occidente,Gas Lift,Activo,2010-05-19,2026-07-12,2180.4,181.0,2.05,62.5,11.5,196.7,89.5,True,False
RUB-194,Campo Rubiales,Sur,Gas Lift,Cerrado,2013-02-19,2026-07-11,2432.8,0.0,1.79,66.2,15.0,10.6,87.2,False,False
RUB-195,Campo Rubiales,Oriente,BES,Activo,2016-08-02,2026-06-24,1965.8,315.1,2.34,46.6,16.6,247.4,82.9,True,False
RUB-196,Campo Rubiales,Sur,Bombeo Mecanico,Activo,2019-08-27,2026-07-14,2932.1,97.1,0.86,31.3,13.0,238.0,93.9,True,False
RUB-197,Campo Rubiales,Centro,Bombeo Mecanico,Activo,2021-08-09,2026-07-15,2243.9,124.5,0.71,21.0,9.6,232.5,93.7,True,False
RUB-198,Campo Rubiales,Oriente,Bombeo Mecanico,Activo,2018-09-02,2026-07-06,2387.5,75.3,0.78,33.9,15.5,229.6,72.4,True,False
RUB-199,Campo Rubiales,Sur,Flujo Natural,Activo,2008-02-17,2026-07-11,2575.0,20.8,1.22,62.7,11.7,145.0,96.0,True,False
RUB-200,Campo Rubiales,Oriente,Flujo Natural,Activo,2012-01-16,2026-07-04,2305.2,42.7,0.74,48.2,17.1,158.0,81.5,True,True
RUB-201,Campo Rubiales,Occidente,Flujo Natural,Cerrado,2011-01-14,2026-07-08,2833.6,0.0,0.67,63.4,14.1,12.8,86.7,False,False
RUB-202,Campo Rubiales,Norte,Bombeo Mecanico,Activo,2022-12-25,2026-06-22,1921.4,124.3,0.49,18.4,8.5,272.8,64.3,True,False
RUB-203,Campo Rubiales,Oriente,Flujo Natural,Activo,2009-06-12,2026-07-18,2018.9,79.5,1.17,58.6,13.7,178.1,95.8,True,False
RUB-204,Campo Rubiales,Sur,Gas Lift,Activo,2014-08-24,2026-07-11,2665.4,233.0,1.47,54.1,15.0,213.2,78.0,True,False
RUB-205,Campo Rubiales,Sur,Bombeo Mecanico,Activo,2008-09-24,2026-06-23,2442.7,104.1,1.75,78.9,12.8,182.2,85.5,True,False
RUB-206,Campo Rubiales,Norte,Bombeo Mecanico,Activo,2011-10-01,2026-06-27,2029.5,83.0,2.18,49.4,11.0,196.3,68.5,True,False
RUB-207,Campo Rubiales,Norte,Bombeo Mecanico,En Mantenimiento,2016-07-11,2026-07-06,2242.2,9.1,1.03,53.4,11.2,223.5,84.4,False,True
RUB-208,Campo Rubiales,Occidente,Bombeo Mecanico,Activo,2017-10-14,2026-07-20,2543.4,100.7,1.24,49.9,11.2,271.2,85.7,True,False
RUB-209,Campo Rubiales,Centro,Bombeo Mecanico,Activo,2022-05-08,2026-07-06,2438.5,17.2,0.57,25.3,7.5,278.8,95.9,True,False
RUB-210,Campo Rubiales,Sur,Bombeo Mecanico,En Mantenimiento,2010-06-28,2026-07-08,2620.7,0.9,2.12,57.4,13.5,219.5,73.7,False,True
RUB-211,Campo Rubiales,Centro,Bombeo Mecanico,En Mantenimiento,2010-01-30,2026-07-18,2581.9,9.6,1.56,65.0,9.4,185.7,96.5,False,True
RUB-212,Campo Rubiales,Sur,Flujo Natural,Activo,2012-07-28,2026-07-08,2562.1,57.8,0.76,74.2,11.7,175.8,73.2,True,True
RUB-213,Campo Rubiales,Occidente,BES,Activo,2020-04-06,2026-06-22,2727.9,413.3,1.69,19.8,13.3,244.3,95.6,True,False
RUB-214,Campo Rubiales,Occidente,BES,En Mantenimiento,2019-11-14,2026-06-25,2761.1,39.7,1.7,40.5,13.1,292.7,92.7,False,True
RUB-215,Campo Rubiales,Sur,BES,Activo,2022-09-17,2026-07-03,2663.0,252.7,0.9,34.3,13.2,277.1,81.0,True,True
RUB-216,Campo Rubiales,Occidente,Bombeo Mecanico,Activo,2008-10-13,2026-06-28,2853.1,65.1,2.16,64.7,11.8,191.9,89.9,True,True
RUB-217,Campo Rubiales,Oriente,BES,Activo,2021-05-01,2026-07-02,2342.4,288.9,1.69,14.9,13.1,284.6,82.8,True,False
RUB-218,Campo Rubiales,Oriente,BES,En Mantenimiento,2016-12-07,2026-06-26,2084.7,15.5,2.67,41.6,13.2,241.7,93.4,False,True
RUB-219,Campo Rubiales,Oriente,Flujo Natural,Activo,2010-07-28,2026-07-10,2080.7,38.4,0.66,65.9,15.1,132.0,80.9,True,True
RUB-220,Campo Rubiales,Oriente,Bombeo Mecanico,Activo,2013-06-11,2026-07-03,2078.9,100.2,1.12,50.9,14.5,180.9,85.2,True,False
RUB-221,Campo Rubiales,Centro,BES,Activo,2019-04-20,2026-06-26,2660.4,394.0,1.99,42.6,10.1,257.3,73.4,True,False
RUB-222,Campo Rubiales,Centro,Flujo Natural,Activo,2011-05-01,2026-06-27,2252.2,45.4,1.08,43.0,10.7,222.7,64.3,True,False
RUB-223,Campo Rubiales,Norte,BES,Activo,2021-10-02,2026-06-25,2197.0,278.0,1.45,30.2,9.9,249.9,72.7,True,False
RUB-224,Campo Rubiales,Occidente,Bombeo Mecanico,Activo,2011-03-25,2026-06-27,2784.4,62.1,2.28,62.6,12.2,185.7,66.0,True,False
RUB-225,Campo Rubiales,Sur,BES,Activo,2022-01-14,2026-07-17,2546.2,355.7,0.85,35.0,14.2,296.0,71.0,True,True
RUB-226,Campo Rubiales,Centro,BES,En Mantenimiento,2012-10-04,2026-07-14,2675.5,32.8,4.66,54.5,8.3,205.4,95.5,False,True
RUB-227,Campo Rubiales,Oriente,Flujo Natural,Activo,2011-08-29,2026-07-17,1904.9,80.5,1.06,62.5,11.7,204.8,74.4,True,True
RUB-228,Campo Rubiales,Sur,Flujo Natural,Activo,2019-09-14,2026-06-26,3018.1,55.9,0.43,18.0,14.1,250.8,79.2,True,False
RUB-229,Campo Rubiales,Oriente,Gas Lift,Activo,2022-09-28,2026-07-08,1856.5,187.4,0.8,40.1,12.6,241.4,73.0,True,False
RUB-230,Campo Rubiales,Centro,Bombeo Mecanico,Activo,2010-12-31,2026-07-10,2295.7,50.4,2.01,64.2,8.6,225.5,94.9,True,False
RUB-231,Campo Rubiales,Oriente,Flujo Natural,Cerrado,2020-12-20,2026-06-30,2405.3,0.0,0.32,28.4,15.5,2.8,66.0,False,False
RUB-232,Campo Rubiales,Occidente,BES,Cerrado,2019-04-04,2026-07-09,2634.4,0.0,1.87,31.1,14.2,3.5,81.1,False,True
RUB-233,Campo Rubiales,Oriente,Bombeo Mecanico,En Mantenimiento,2022-03-06,2026-06-29,2314.3,10.6,0.55,44.9,14.1,264.0,72.1,False,True
RUB-234,Campo Rubiales,Norte,Bombeo Mecanico,Activo,2014-02-06,2026-06-22,2275.8,101.1,1.2,58.4,10.0,210.2,78.8,True,False
RUB-235,Campo Rubiales,Oriente,Bombeo Mecanico,Activo,2015-08-02,2026-07-16,2069.9,53.3,1.45,49.5,16.9,190.8,81.1,True,False
RUB-236,Campo Rubiales,Sur,Bombeo Mecanico,Activo,2021-10-28,2026-07-12,2579.3,122.3,0.59,27.8,14.8,296.9,69.0,True,False
RUB-237,Campo Rubiales,Sur,Bombeo Mecanico,En Mantenimiento,2012-04-06,2026-07-03,2375.2,14.0,2.0,57.2,13.5,196.9,81.3,False,True
RUB-238,Campo Rubiales,Occidente,Gas Lift,Activo,2016-11-17,2026-07-04,2894.9,105.8,1.26,44.3,12.5,248.5,67.7,True,True
RUB-239,Campo Rubiales,Occidente,Bombeo Mecanico,En Mantenimiento,2012-10-27,2026-07-11,2473.1,9.8,1.81,75.4,14.6,217.9,82.2,False,True
RUB-240,Campo Rubiales,Oriente,Bombeo Mecanico,Activo,2010-03-24,2026-06-29,2563.8,94.5,1.63,74.4,13.7,232.3,85.8,True,False
RUB-241,Campo Rubiales,Oriente,Flujo Natural,Activo,2012-05-17,2026-07-19,2414.0,86.9,0.91,46.6,14.4,230.2,87.4,True,False
RUB-242,Campo Rubiales,Oriente,BES,En Mantenimiento,2023-07-02,2026-07-19,1989.6,39.3,1.06,14.9,18.7,299.6,77.6,False,True
RUB-243,Campo Rubiales,Norte,BES,Activo,2021-05-07,2026-07-20,1982.8,314.8,1.71,19.4,9.2,232.1,65.8,True,True
RUB-244,Campo Rubiales,Sur,Bombeo Mecanico,Activo,2013-10-15,2026-06-24,2575.1,183.5,1.67,56.9,13.2,188.0,82.7,True,True
RUB-245,Campo Rubiales,Norte,Flujo Natural,Activo,2011-05-02,2026-07-12,1992.0,50.5,0.91,66.8,9.9,212.7,82.5,True,False
RUB-246,Campo Rubiales,Oriente,BES,Activo,2023-02-17,2026-07-01,2009.3,247.4,0.87,27.5,15.5,245.9,83.1,True,True
RUB-247,Campo Rubiales,Sur,BES,Activo,2020-02-10,2026-07-01,2254.5,278.6,1.46,44.9,11.3,224.1,67.3,True,True
RUB-248,Campo Rubiales,Sur,Bombeo Mecanico,En Mantenimiento,2012-02-23,2026-07-03,2994.1,13.7,1.98,54.0,13.6,191.2,83.4,False,True
RUB-249,Campo Rubiales,Norte,Bombeo Mecanico,Activo,2023-04-14,2026-07-05,2178.4,163.3,0.32,26.5,8.2,265.7,78.7,True,False
RUB-250,Campo Rubiales,Centro,Gas Lift,Activo,2015-07-11,2026-07-02,2155.7,124.2,2.21,45.4,9.5,202.8,84.8,True,True
